,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,screen_size,ram,ssd,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
113,DUAL-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE,CORE I5,GLOSSY,1,1,1.0,1.0,13.5,8,256,3.48,2.4,3000,3368.0,3.0,599.0,679.8
153,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,500,4.85,2.6,1920,11636.0,12791.0,1149.0,1199.0
211,QUAD-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,6.78,2.8,1920,7069.0,10210.0,1749.0,1799.99
422,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,500,4.6,2.6,1920,11636.0,16632.0,1549.0,1599.0
57,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,15.6,4,0,4.85,1.1,1366,2645.0,345.0,255.0,255.0
266,QUAD-CORE,HP,INTEL,INTEL,INTEL HD,PENTIUM,GLOSSY,1,0,0.0,0.0,15.6,4,0,4.7,2.16,1366,1179.0,10.0,399.99,420.0
24,QUAD-CORE,DELL,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,1,0,0.0,1.0,15.6,16,0,4.89,2.0,1920,6317.0,1509.0,565.0,565.0
17,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,15.6,8,256,3.97,1.6,1920,6068.0,888.0,579.0,579.99
185,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,256,4.14,2.2,1920,10418.0,13557.0,1399.99,1449.99
66,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I5,GLOSSY,1,0,0.0,1.0,15.6,8,0,5.3,2.2,1920,2546.0,530.0,588.0,588.0
402,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,14.0,16,1000,2.49,1.9,2560,6620.0,888.0,1649.99,1649.99
396,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,11.6,4,32,2.87,1.6,1366,759.0,329.0,149.99,149.99
94,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,5.7,2.8,1920,7069.0,5595.0,1379.99,1379.99
496,DUAL-CORE,GOOGLE,INTEL,INTEL,INTEL HD 615,CORE I5,GLOSSY,1,0,0.0,1.0,12.3,8,128,2.4,1.2,2400,2958.0,799.0,860.0,875.0
354,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 520,CORE I3,GLOSSY,0,0,0.0,1.0,15.6,4,0,5.29,2.3,1366,2825.0,864.0,449.99,449.99
23,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,11.6,4,128,2.38,1.6,1366,2142.0,829.0,380.44,405.82
231,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1080,CORE I7,MATTE,0,1,0.0,1.0,15.6,16,512,5.0,2.2,1920,10418.0,14716.0,1479.0,1489.0
265,DUAL-CORE,LENOVO,AMD,AMD,AMD RADEON R5,A9,MATTE,0,0,0.0,0.0,15.6,8,0,4.85,3.1,1366,1687.0,148.0,334.38,335.0
208,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,11.6,4,32,2.76,1.6,1366,759.0,329.0,199.99,214.9
5,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,11.6,4,16,2.6,1.6,1366,759.0,329.0,172.0,172.0
116,DUAL-CORE,HP,INTEL,INTEL,INTEL UHD 600,CELERON,MATTE,0,0,0.0,0.0,11.6,4,32,2.57,1.1,1366,1278.0,345.0,161.99,174.0
45,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,5.95,2.2,1920,10418.0,13557.0,1649.0,1649.0
394,QUAD-CORE,ACER,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,MATTE,0,0,0.0,1.0,15.6,8,0,5.07,2.0,1920,6317.0,1509.0,449.0,466.0
16,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,MATTE,0,1,0.0,1.0,15.6,8,256,5.07,2.2,1920,10418.0,7868.0,839.0,896.48
472,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,17.3,16,256,9.74,2.2,1920,10418.0,13557.0,1645.0,1645.0
461,QUAD-CORE,ASUS,AMD,NVIDIA,NVIDIA GEFORCE GTX 1650,RYZEN 5,MATTE,0,1,0.0,1.0,15.6,8,256,4.85,2.1,1920,8163.0,7868.0,649.99,649.99
3,DUAL-CORE,ACER,INTEL,INTEL,INTEL UHD 620,CORE I3,MATTE,0,0,0.0,1.0,15.6,6,0,5.3,2.2,1920,3676.0,888.0,375.0,449.0
227,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,11.6,4,16,2.54,1.6,1366,672.0,10.0,138.0,145.97
482,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,13.3,8,256,3.72,1.8,1920,6134.0,888.0,829.99,844.97
60,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 605,PENTIUM,GLOSSY,1,0,0.0,0.0,15.6,8,0,4.3,1.1,1366,2801.0,355.0,379.0,407.98
110,QUAD-CORE,HUAWEI,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I7,GLOSSY,1,1,0.0,1.0,13.9,16,512,2.93,1.8,3000,6134.0,2387.0,1299.99,1399.0
