,cpu_core,brand,cpu_brand,gpu_brand,gpu,cpu_type_name,screen_surface,touchscreen,discrete_gpu,detachable_keyboard,threading,id,screen_size,ram,ssd,storage,weight,cpu_GHZ,pixels_x,cpu_benchmark,gpu_benchmark,min_price,max_price
488,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,1,0,0.0,0.0,24628,11.6,4,16,16,2.98,1.4,1366,849.0,10.0,84.99,90.9
223,HEXA-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070 MAX-Q,CORE I7,MATTE,0,1,0.0,1.0,26365,15.6,16,128,1128,4.78,2.2,1920,10418.0,10472.0,1598.36,1774.4
426,DUAL-CORE,DELL,INTEL,INTEL,INTEL IRIS PLUS 640,CORE I7,GLOSSY,1,0,0.0,1.0,18830,13.3,16,1000,1000,2.7,2.4,3200,4519.0,1377.0,1799.33,1799.33
219,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,21221,15.6,8,0,1000,4.19792490118577,1.6,1920,6372.0,888.0,649.0,649.0
129,DUAL-CORE,APPLE,INTEL,INTEL,INTEL UHD 617,CORE I5,GLOSSY,0,0,0.0,1.0,31196,13.3,8,128,128,2.75,1.6,2560,3296.0,878.0,749.66,799.99
428,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 520,CORE I3,GLOSSY,1,0,0.0,1.0,11087,15.6,8,0,1000,4.68,2.3,1366,2825.0,864.0,399.0,399.0
484,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 520,CORE I5,GLOSSY,1,0,0.0,1.0,10371,15.6,8,256,256,4.19,2.3,1920,2989.0,864.0,549.0,549.0
334,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,24431,15.6,8,256,256,3.7,1.6,1920,6372.0,888.0,535.0,588.0
384,DUAL-CORE,MICROSOFT,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,25935,13.5,8,256,256,2.76,2.5,2256,3522.0,888.0,664.0,668.0
409,DUAL-CORE,SAMSUNG,INTEL,INTEL,INTEL HD 615,CELERON,GLOSSY,1,0,0.0,0.0,25060,12.2,4,32,32,2.98,1.5,1920,1253.0,799.0,349.99,365.0
361,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 605,PENTIUM,GLOSSY,1,0,0.0,0.0,27581,14.0,4,64,64,3.3,1.1,1920,2801.0,355.0,409.0,409.0
299,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD,CELERON,MATTE,0,0,0.0,0.0,11092,14.0,2,32,32,3.53,1.6,1366,672.0,10.0,229.99,229.99
294,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2060,CORE I7,MATTE,0,1,0.0,1.0,29628,15.6,16,500,1500,5.0,2.6,1920,11636.0,15156.0,1349.0,1349.0
373,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,20745,15.6,4,0,500,4.9,1.6,1366,672.0,10.0,299.0,299.0
346,DUAL-CORE,SAMSUNG,SAMSUNG,INTEL,INTEL HD,EXYNOS,MATTE,0,0,0.0,0.0,4066,11.6,2,16,16,2.43,1.7,1366,500.0,10.0,69.99,76.0
112,QUAD-CORE,ASUS,AMD,AMD,AMD RADEON R7,A12,MATTE,0,0,0.0,0.0,28976,15.6,16,256,1256,3.7,2.7,1920,2741.0,551.0,407.0,469.0
179,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,19152,15.6,8,256,256,4.83,2.5,1920,3522.0,888.0,648.99,648.99
477,QUAD-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I7,GLOSSY,1,1,0.0,1.0,26366,13.3,16,512,512,3.04,1.8,3840,6777.0,2387.0,1699.99,1699.99
352,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 4200,CORE I5,GLOSSY,1,0,0.0,1.0,6345,11.6,4,128,128,3.06,1.6,1920,1373.0,90.0,779.99,779.99
336,QUAD-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,26131,15.6,16,256,2256,3.96,2.8,1920,7069.0,10210.0,1999.11,1999.11
491,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 400,CELERON,Unknown,0,0,0.0,0.0,10549,15.6,4,0,500,4.31,2.16,1366,759.0,329.0,287.9,287.9
404,QUAD-CORE,LENOVO,AMD,AMD,AMD RADEON R7,A12,MATTE,0,0,0.0,0.0,19844,15.6,8,0,1000,4.85,2.7,1366,2741.0,551.0,430.0,430.0
233,DUAL-CORE,ASUS,INTEL,INTEL,INTEL IRIS 5100,CORE I7,GLOSSY,1,0,0.0,1.0,3916,13.3,8,0,256,2.6,2.8,2560,2928.0,963.0,999.99,999.99
456,QUAD-CORE,HP,AMD,AMD,AMD RADEON R7,FX,GLOSSY,1,0,0.0,0.0,20743,15.6,8,0,1000,4.74,2.7,1920,2256.0,551.0,444.0,459.99
317,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I5,MATTE,0,1,0.0,0.0,20089,15.6,8,128,1128,6.28,2.5,1920,5260.0,10210.0,819.0,909.0
164,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,0,0,0.0,0.0,19851,14.0,4,32,32,3.18,1.6,1366,759.0,329.0,243.9,243.95
136,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 960M,CORE I7,GLOSSY,1,1,0.0,1.0,17479,15.6,16,128,1128,6.0,2.6,3840,6661.0,3467.0,1189.99,1189.99
197,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,0,0,0.0,1.0,28337,15.6,8,128,1128,4.8,1.8,1920,6134.0,888.0,730.0,730.0
258,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I7,MATTE,0,0,0.0,1.0,24844,13.3,8,256,256,2.5,1.8,1920,6134.0,888.0,849.0,849.0
232,DUAL-CORE,ASUS,INTEL,INTEL,INTEL UHD 600,CELERON,GLOSSY,0,0,0.0,0.0,25584,11.6,2,32,32,2.18,1.1,1366,1278.0,345.0,237.9,266.0
115,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4400,CORE I5,GLOSSY,0,0,0.0,1.0,3899,15.6,8,0,1024,6.0,1.7,1366,2343.0,530.0,559.99,559.99
120,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,1,0,0.0,1.0,22135,15.6,8,0,1000,4.6,2.4,1366,2806.0,888.0,421.0,538.99
355,QUAD-CORE,LENOVO,AMD,AMD,AMD RADEON R7,A12,GLOSSY,0,0,0.0,0.0,21468,15.6,8,0,1000,4.85,2.5,1366,2365.0,551.0,412.0,484.0
224,DUAL-CORE,ACER,INTEL,INTEL,INTEL UHD 620,CORE I3,Unknown,0,0,0.0,1.0,28338,15.6,6,0,1000,5.27,2.2,1920,3676.0,888.0,434.29,449.99
410,QUAD-CORE,DELL,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,MATTE,0,0,0.0,1.0,23192,15.6,8,0,1000,4.89,2.0,1920,6317.0,1509.0,425.61,425.61
438,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,1,0,0.0,1.0,26102,15.6,8,128,128,5.07,2.7,1366,3190.0,888.0,313.0,358.0
127,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 500,CELERON,GLOSSY,1,0,0.0,0.0,28333,15.6,4,32,32,3.97,1.1,1920,1123.0,317.0,259.0,299.99
285,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 620,CORE I3,GLOSSY,0,0,0.0,1.0,20958,15.6,8,0,1000,4.85,2.4,1366,2806.0,888.0,362.0,389.0
432,QUAD-CORE,APPLE,INTEL,INTEL,INTEL IRIS PLUS 645,CORE I5,GLOSSY,0,0,0.0,1.0,28479,13.3,8,128,128,3.02,1.4,2560,8395.0,2054.0,1099.99,1230.08
107,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 MAX-Q,CORE I7,GLOSSY,0,1,0.0,1.0,27576,15.6,16,512,512,3.72,1.8,1920,6777.0,3909.0,1382.99,1498.97
377,QUAD-CORE,ACER,INTEL,INTEL,INTEL HD 500,CELERON,Unknown,0,0,0.0,0.0,18656,14.0,4,32,32,3.64,1.1,1920,1842.0,317.0,219.99,295.99
331,DUAL-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE,CORE I7,GLOSSY,1,1,1.0,1.0,22980,13.5,16,1000,1000,3.34,2.6,3000,3807.0,3.0,1299.81,1300.0
133,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,22143,13.3,8,256,256,3.59,1.6,1920,6372.0,888.0,599.99,599.99
370,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CORE I5,GLOSSY,0,0,0.0,1.0,9181,15.6,8,0,1000,5.4,2.3,1366,2989.0,10.0,545.0,545.0
44,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD (UMA),CORE I3,GLOSSY,1,0,0.0,0.0,4062,15.6,4,0,500,6.0,1.9,1366,1115.0,3113.8426294820715,417.57,417.57
470,QUAD-CORE,ASUS,AMD,AMD,AMD RADEON R7,A12,GLOSSY,0,0,0.0,0.0,28048,15.6,8,128,128,5.07,2.7,1366,2741.0,551.0,335.0,339.0
65,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 615,CORE M3,GLOSSY,0,0,0.0,1.0,24838,12.0,8,256,256,2.03,1.2,2304,2644.0,799.0,799.99,899.99
283,DUAL-CORE,APPLE,INTEL,INTEL,INTEL UHD 617,CORE I5,GLOSSY,0,0,0.0,1.0,30292,13.3,8,256,256,2.75,1.6,2560,3296.0,878.0,1099.0,1232.0
85,QUAD-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I5,MATTE,0,1,0.0,0.0,23419,15.6,8,256,256,5.29,2.5,1920,5260.0,5595.0,898.99,899.0
242,QUAD-CORE,DELL,AMD,AMD,AMD RADEON R4,A6,GLOSSY,0,1,0.0,0.0,3950,15.6,4,0,500,6.0,1.8,1366,1888.0,346.0,317.88,317.88
186,,HP,INTEL,INTEL,INTEL HD,PENTIUM,GLOSSY,0,0,0.0,0.0,4071,15.6,4,0,750,6.5,2.0455467196819135,1366,4957.364729458918,10.0,330.0,330.0
391,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 400,CELERON,GLOSSY,1,0,0.0,0.0,19304,11.6,4,32,32,2.61,1.6,1366,759.0,329.0,299.0,299.0
159,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,MATTE,0,1,0.0,1.0,30757,17.3,8,256,256,4.85,2.6,1920,11636.0,6657.0,829.98,829.98
12,DUAL-CORE,DELL,AMD,AMD,AMD RADEON R4,A6,Unknown,0,0,0.0,0.0,22978,15.6,4,0,500,5.07,2.5,1366,1032.0,346.0,288.98,288.99
35,QUAD-CORE,LENOVO,AMD,AMD,AMD RADEON R7,A12,MATTE,0,0,0.0,0.0,20094,15.6,8,0,1000,4.85,2.7,1366,2741.0,551.0,424.22,424.22
28,QUAD-CORE,DELL,INTEL,INTEL,INTEL HD,PENTIUM,GLOSSY,0,0,0.0,0.0,10358,15.6,4,0,500,4.85,1.6,1366,1243.0,10.0,399.99,399.99
170,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050 TI,CORE I7,MATTE,0,1,0.0,1.0,14056,15.6,16,256,256,5.51,2.8,1920,7069.0,6657.0,1199.99,1199.99
142,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,30514,15.6,16,500,2500,4.6,2.6,1920,11636.0,16632.0,1599.0,1699.0
406,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,30999,15.6,8,256,256,4.68,1.6,1920,6068.0,888.0,729.99,775.0
507,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,22738,15.6,8,128,1128,3.7,1.6,1920,6372.0,888.0,499.99,669.97
221,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I7,GLOSSY,0,0,0.0,1.0,17751,17.3,8,0,1000,5.84,2.7,1600,3500.0,888.0,673.98,673.98
95,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,26959,15.6,8,128,128,3.9,1.6,1366,6372.0,888.0,499.0,499.0
51,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I5,MATTE,0,1,0.0,0.0,17748,15.6,16,0,1000,4.9,2.3,1920,4398.0,10210.0,799.9,799.9
240,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 520,CORE I3,GLOSSY,1,0,0.0,1.0,17469,15.6,4,128,128,4.85,2.3,1366,2825.0,864.0,799.11,799.11
398,DUAL-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE,CORE I7,GLOSSY,1,1,1.0,1.0,22739,13.5,8,256,256,3.34,2.6,3000,3807.0,3.0,678.0,759.99
386,DUAL-CORE,HP,INTEL,INTEL,INTEL HD,CORE I3,MATTE,0,0,0.0,1.0,7422,15.6,4,0,500,4.83,1.8,1366,1240.0,10.0,390.0,390.0
178,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,21895,15.6,4,0,500,4.54,2.0455467196819135,1366,4957.364729458918,10.0,294.99,294.99
41,DUAL-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE 940MX,CORE I5,MATTE,0,1,0.0,1.0,13771,15.6,8,256,256,5.27,2.5,1920,3522.0,1603.0,999.0,999.0
444,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 520,CORE I7,GLOSSY,0,0,0.0,1.0,9591,15.6,12,0,1000,4.94,2.5,1366,3369.0,864.0,999.11,999.11
395,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD,CORE I5,GLOSSY,0,0,0.0,1.0,9185,13.3,4,0,500,4.5,2.5,1280,2503.0,10.0,348.69,388.71
206,QUAD-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I7,GLOSSY,1,1,0.0,1.0,24847,15.6,8,0,1000,4.85,1.8,1920,6134.0,5595.0,789.0,899.0
282,HEXA-CORE,RAZER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2080 MAX-Q,CORE I7,MATTE,0,1,0.0,1.0,26096,15.6,16,512,512,4.63,2.2,1920,10418.0,14482.0,2299.99,2499.99
254,HEXA-CORE,MSI,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,30994,17.3,16,512,512,5.95,2.6,1920,11636.0,12791.0,1299.7,1396.99
420,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1050,CORE I5,MATTE,0,1,0.0,1.0,22369,15.6,8,0,1000,5.07,2.3,1920,7584.0,5595.0,699.0,799.99
4,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,0,0,0.0,1.0,17471,17.3,8,0,1000,5.8,2.5,1600,3522.0,888.0,559.0,559.0
256,QUAD-CORE,HP,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,1,0,0.0,1.0,28483,15.6,8,256,256,4.49,2.0,1920,6317.0,1509.0,659.99,678.0
457,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFOCE GTX 1060,CORE I5,MATTE,0,1,0.0,1.0,23422,15.6,8,128,1128,6.28,2.3,1920,7584.0,10210.0,1149.0,1149.0
100,QUAD-CORE,LENOVO,AMD,AMD,AMD RADEONÂ R4,A6,MATTE,0,0,0.0,0.0,7856,15.6,4,0,500,4.73,1.8,1366,1888.0,220.0,258.0,258.0
226,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 960M,CORE I7,GLOSSY,1,1,0.0,1.0,8789,15.6,16,128,1128,4.6,2.6,3840,6661.0,3467.0,1099.0,1999.11
508,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,0,0,0.0,1.0,16468,17.3,8,0,1000,5.84,2.5,1600,3522.0,888.0,548.29,548.29
213,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 520,CORE I7,GLOSSY,1,0,0.0,1.0,17478,13.3,16,512,512,3.17,2.5,2560,3369.0,864.0,1499.77,1499.77
436,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,29848,17.3,16,512,512,6.28,2.6,1920,11636.0,12791.0,1085.99,1196.99
171,QUAD-CORE,DELL,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,1,0,0.0,1.0,23223,13.3,16,256,256,3.86,2.0,1920,6317.0,1509.0,559.5,559.5
98,QUAD-CORE,LENOVO,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I5,MATTE,0,1,0.0,1.0,28799,15.6,8,512,512,4.83,2.4,1920,8167.0,7868.0,723.98,729.97
292,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,1,0,0.0,0.0,8536,11.6,4,128,128,3.1,1.83,1366,970.0,10.0,445.0,445.0
215,QUAD-CORE,ASUS,AMD,NVIDIA,NVIDIA GEFORCE GTX 1050,RYZEN 5,MATTE,0,1,0.0,1.0,27731,15.6,8,256,256,4.32,2.0,1920,6317.0,5595.0,761.35,771.45
61,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,0,0,0.0,1.0,20740,14.0,8,0,1000,3.63,2.5,1366,3522.0,888.0,440.0,475.0
47,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CORE I3,GLOSSY,1,0,0.0,1.0,6786,15.6,4,0,500,5.3,1.9,1366,1863.0,10.0,498.88,498.88
32,QUAD-CORE,HP,INTEL,INTEL,INTEL UHD 605,PENTIUM,GLOSSY,1,0,0.0,0.0,28224,15.6,4,0,1000,4.19792490118577,1.1,1366,2801.0,355.0,325.99,360.0
267,QUAD-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE MX150,CORE I7,GLOSSY,1,1,0.0,1.0,24017,14.0,16,512,512,3.3,1.8,1920,6134.0,2387.0,1299.0,1349.0
327,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,17473,15.6,8,0,1000,4.73,2.5,1366,3522.0,888.0,498.56,520.0
200,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,18655,13.3,8,256,256,2.87,2.5,1920,3522.0,888.0,658.9,684.0
455,QUAD-CORE,ALIENWARE,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1070,CORE I7,MATTE,0,1,0.0,1.0,20281,15.6,16,256,1256,7.69,2.8,1920,7069.0,13557.0,1299.0,1652.02
27,QUAD-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 960M,CORE I7,MATTE,0,1,0.0,1.0,8285,15.6,8,8,1008,5.67,2.6,1920,6661.0,3467.0,809.99,809.99
397,QUAD-CORE,LENOVO,AMD,AMD,AMD RADEON VEGA 8,RYZEN 5,GLOSSY,1,0,0.0,1.0,27880,14.0,8,256,256,3.64,2.1,1920,7248.0,1509.0,548.94,552.13
230,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 5500,CORE I5,GLOSSY,1,0,0.0,1.0,6625,15.6,8,0,1000,5.3,2.2,1366,2546.0,568.0,639.0,639.0
260,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 4000,CORE I5,MATTE,0,0,0.0,1.0,17022,14.0,8,0,320,3.94,2.6,1366,861.0,329.0,196.0,224.95
378,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,GLOSSY,1,0,0.0,1.0,21472,14.0,8,128,128,3.85,1.6,1920,6372.0,888.0,547.0,557.0
288,DUAL-CORE,GOOGLE,INTEL,INTEL,INTEL UHD 615,CORE M3,GLOSSY,1,0,0.0,1.0,30754,13.3,8,64,64,2.3,1.1,1920,2995.0,835.0,642.49,649.0
162,HEXA-CORE,ACER,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1660 TI,CORE I7,MATTE,0,1,0.0,1.0,27730,15.6,16,256,256,5.51,2.6,1920,11636.0,12791.0,1094.0,1099.99
433,DUAL-CORE,HP,AMD,AMD,AMD RADEON R5,A9,GLOSSY,0,0,0.0,0.0,19311,17.3,4,0,1000,5.62,3.0,1600,1131.0,148.0,449.99,449.99
138,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,26103,15.6,8,256,256,4.85,1.6,1920,6372.0,888.0,595.0,649.0
62,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,30515,15.6,32,500,2500,4.6,2.6,1920,11636.0,16632.0,1679.0,1799.0
135,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,30293,15.6,16,0,1000,5.66,2.6,1920,11636.0,16632.0,1849.99,1999.99
128,QUAD-CORE,DELL,INTEL,INTEL,INTEL HD 405,PENTIUM,GLOSSY,1,0,0.0,0.0,23614,11.6,4,0,500,3.09,1.6,1366,1422.0,3113.8426294820715,365.0,389.0
486,QUAD-CORE,HP,INTEL,INTEL,INTEL HD,PENTIUM,GLOSSY,1,0,0.0,0.0,15328,15.6,4,0,500,5.05,2.16,1366,1179.0,10.0,344.0,344.0
8,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CELERON,GLOSSY,0,0,0.0,0.0,23120,11.6,4,16,16,2.9,1.4,1366,849.0,10.0,69.0,78.9
326,HEXA-CORE,ASUS,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,27417,17.3,16,1000,1000,5.73,2.6,1920,11636.0,16632.0,2299.97,2499.97
473,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 4400,CORE I7,GLOSSY,1,0,0.0,1.0,4977,15.6,8,0,1024,5.0,2.0,1366,2761.0,530.0,649.99,649.99
64,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 400,CELERON,MATTE,0,0,0.0,0.0,19845,11.6,4,16,16,2.51,1.6,1366,759.0,329.0,140.89,142.84
300,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 400,CELERON,Unknown,0,0,0.0,0.0,11539,15.6,4,0,500,4.31,1.6,1366,759.0,329.0,309.99,309.99
14,DUAL-CORE,DELL,AMD,AMD,AMD RADEON R4,A6,GLOSSY,1,0,0.0,0.0,25265,11.6,4,32,32,3.41,1.6,1366,1032.0,346.0,288.0,288.0
156,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,MATTE,0,0,0.0,1.0,24015,14.0,16,512,512,2.49,1.9,2560,6620.0,888.0,1543.99,1645.69
40,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD,CORE I5,GLOSSY,1,0,0.0,1.0,6775,15.6,6,0,1000,5.7,1.7,1366,2343.0,10.0,669.0,669.0
379,DUAL-CORE,ACER,INTEL,INTEL,INTEL HD 4400,CORE I5,GLOSSY,1,0,0.0,1.0,6771,15.6,4,0,500,5.95,1.7,1366,2343.0,530.0,513.7,527.0
469,QUAD-CORE,ASUS,INTEL,INTEL,INTEL UHD 620,CORE I7,MATTE,0,0,0.0,1.0,20091,14.0,16,512,512,2.76,1.8,1920,6134.0,888.0,1024.14,1024.14
411,QUAD-CORE,MICROSOFT,INTEL,INTEL,INTEL IRIS PLUS,CORE I5,GLOSSY,1,0,1.0,1.0,29199,12.3,8,128,128,1.7,1.1,2736,9314.0,1888.0,688.0,749.0
216,DUAL-CORE,HP,INTEL,INTEL,INTEL HD 620,CORE I5,GLOSSY,1,0,0.0,1.0,28335,15.6,8,512,2512,4.51,2.5,1366,3522.0,888.0,681.0,698.0
279,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I7,MATTE,1,0,0.0,1.0,22561,15.6,12,0,1000,4.84,1.8,1366,6134.0,888.0,618.0,630.0
481,HEXA-CORE,OTHER,INTEL,NVIDIA,NVIDIA GEFORCE RTX 2070,CORE I7,MATTE,0,1,0.0,1.0,31418,17.3,32,500,1500,5.51,2.6,1920,11636.0,16632.0,1809.0,1809.0
439,DUAL-CORE,APPLE,INTEL,INTEL,INTEL HD 6000,CORE I5,GLOSSY,0,0,0.0,1.0,26958,13.3,8,128,128,2.96,1.6,1440,2142.0,829.0,479.0,490.78
337,DUAL-CORE,MICROSOFT,INTEL,NVIDIA,NVIDIA GEFORCE GTX 965M,CORE I7,GLOSSY,1,1,1.0,1.0,18660,13.5,8,256,256,3.63,2.6,3000,3807.0,3683.0,729.0,949.99
236,QUAD-CORE,DELL,INTEL,INTEL,INTEL UHD 620,CORE I7,GLOSSY,1,0,0.0,1.0,26777,13.3,16,512,512,2.81,1.8,3840,6777.0,888.0,1649.0,1699.0
207,QUAD-CORE,HP,INTEL,INTEL,INTEL IRIS PLUS,CORE I7,GLOSSY,1,0,0.0,1.0,31190,15.6,8,512,512,3.74,1.3,1366,8923.0,1888.0,789.0,789.0
212,DUAL-CORE,LENOVO,AMD,AMD,AMD RADEON R4,A6,MATTE,0,0,0.0,0.0,25588,15.6,4,0,500,4.63,2.6,1366,1274.0,346.0,251.18,260.0
295,DUAL-CORE,HP,INTEL,INTEL,INTEL UHD 600,CELERON,GLOSSY,0,0,0.0,0.0,29409,15.6,4,0,500,4.5,1.1,1366,1278.0,345.0,194.99,227.98
499,DUAL-CORE,DELL,INTEL,INTEL,INTEL HD 4000,CORE I5,MATTE,0,0,0.0,1.0,21463,14.0,8,0,320,4.44,2.6,1366,861.0,329.0,179.68,214.99
251,DUAL-CORE,LENOVO,INTEL,INTEL,INTEL HD 520,CORE I5,GLOSSY,1,0,0.0,1.0,15920,14.0,8,256,256,3.85,2.3,1920,2989.0,864.0,600.0,600.0
498,QUAD-CORE,LENOVO,INTEL,INTEL,INTEL UHD 620,CORE I5,MATTE,0,0,0.0,1.0,31420,14.0,16,256,256,2.9,1.7,1920,6987.0,888.0,829.95,829.95
467,HEXA-CORE,DELL,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1650,CORE I7,GLOSSY,0,1,0.0,1.0,29404,15.6,16,256,256,4.4,2.6,3840,11636.0,7868.0,1589.99,1779.8
303,HEXA-CORE,LENOVO,INTEL,NVIDIA,NVIDIA GEFORCE GTX 1060,CORE I7,MATTE,0,1,0.0,1.0,27250,15.6,16,128,1128,5.17,2.2,1920,10418.0,10210.0,1129.0,1129.0
350,DUAL-CORE,ASUS,INTEL,INTEL,INTEL HD 620,CORE I5,MATTE,0,0,0.0,1.0,25057,15.6,8,0,1000,3.7,2.5,1920,3522.0,888.0,589.99,589.99
